code,lat,lng
431535425000006,-28.796662076834821,-53.132671239308884
430237805000005,-27.54426446937731,-53.863686276672212
430510805100213,-29.158520247678442,-51.190511481836879
431690705130044,-29.699125114167693,-53.885487063132288
431340905000657,-29.677362542530442,-51.148785693810609
431550305000006,-29.824614985041013,-53.387294597977629
431940605000008,-29.607229539131581,-54.179169519127541
432143605000027,-29.579084820148257,-50.068043434540208
430310305000004,-29.953539823616389,-51.095667158675028
430510805100236,-29.1607109481778,-51.165437360399388
430440805000063,-29.371829106300986,-50.819520962032257
430063805000014,-30.827715500040949,-52.325000021695452
430460605000240,-29.907298850656282,-51.2146223538836
431240105000103,-29.674911042404496,-51.473970327477495
431580005000006,-29.287874999916443,-51.871772771976133
430460605000661,-29.947316593463743,-51.185163093549733
432300235000105,-30.117022065348053,-51.073213247862874
430180010000005,-27.664631133240906,-51.5208086739074
430060405060025,-30.037030489777536,-51.052724065751725
430510805100268,-29.17985408824903,-51.19447299340726
430210505000224,-29.171524690399703,-51.509287622636379
430807805000007,-29.583486278334906,-51.875212339363948
431150210000004,-30.885236417652155,-54.2458984567008
431490205002454,-30.031675133915552,-51.17226064158114
431700405000011,-30.826258558642259,-52.984337422332061
430810205000019,-29.455605354882582,-51.266627958229421
431240105000073,-29.681600782505775,-51.47289682060439
432147720000003,-27.310333149045668,-54.182340292756564
430210505000018,-29.167382974066541,-51.522470988190236
430790605000180,-29.227478356186392,-51.321639976845077
430210510000003,-29.134071363236004,-51.589448695200439
430510805120080,-29.147106063440361,-51.170447023767785
430310305000253,-29.888121932001074,-51.077042231860851
431055305000002,-28.779832283689142,-55.282803017297304
431350835000010,-29.991571174560082,-50.355985969605129
431560205150006,-32.059022917968335,-52.15312315364244
432220205000035,-29.086358572207409,-53.826468329456176
430160205000061,-31.313564149121483,-54.132930352213272
431171810000002,-28.995702496139209,-55.975643946802023
430770805250014,-29.859560630587225,-51.171013942200155
430310305000026,-29.939917855715322,-51.090753963186984
430280805000006,-30.508838147137819,-53.483915891765925
430510805100096,-29.179026608626021,-51.164550866353828
430990205000014,-28.374797435843039,-51.64231244654443
431490205002861,-30.118887964693332,-51.206622630628218
432132905000010,-27.397324435517056,-53.4708788679221
430280805000021,-30.515229486175702,-53.491233850840786
430920905000088,-29.931824120845349,-51.017548249242353
431410005070001,-28.265896647671308,-52.401261779273206
431550305000046,-29.753553718284863,-53.369543712825454
432000805000201,-29.809343079958314,-51.1385429849592
430210505000284,-29.151082217912045,-51.532033281133387
431130430000001,-27.995580614837692,-51.63643666298136
431800205000055,-28.652021764234615,-55.99924057408326
430610605000047,-28.628262502155785,-53.604654744158225
430990205000009,-28.439259879730265,-51.616207309380535
430610605000119,-28.655075065625411,-53.596558868510712
430880510000006,-29.786896237905474,-52.021344459937573
430460605000115,-29.949608989041998,-51.164962389181035
430660105060087,-30.996123184776415,-54.671580722623005
431020705000067,-28.3680855715225,-53.939477738795887
431490205001500,-30.035091571128305,-51.190400249101032
430047105000002,-28.089376173174283,-52.918522104276867
430650205000018,-30.623752791199998,-52.303411725799883
430060405060020,-30.027014790572917,-51.052248534454634
431350805000039,-29.90479577348616,-50.273385131039653
431760805000027,-29.8188992544359,-50.53656528074486
431950505000051,-29.569016979554554,-51.385080281006744
430280805000035,-30.444280768680066,-53.4683838027274
430300405000069,-30.023083660455448,-52.914564136094434
430460605000231,-29.906672356036559,-51.235606151764316
431720205000104,-27.880679774866945,-54.476060907071364
430064605000011,-27.36679740775913,-53.223861472064009
430060410100028,-29.999277371053065,-51.041456742324087
430468920000001,-29.657702632182623,-51.298987835055655
430510805140094,-29.1870313884171,-51.205284600414551
430450705000035,-31.422496000564855,-52.721271966215568
430460605000679,-29.896503251817826,-51.15061634291812
431560205050005,-32.032305151787725,-52.097327786836949
431840805000011,-29.967105924140579,-51.721862584590092
430280805000004,-30.505420046276935,-53.491623910789109
430510805100274,-29.173492216383028,-51.184707368372
430510805170020,-29.123315323348425,-51.112687031753275
431830905000039,-30.337566085035828,-54.310664694384393
431405015000002,-29.691771925054823,-50.837485269603221
430940735000001,-28.793514984219147,-51.9155139080283
430510805140005,-29.200855760601559,-51.207515384436192
430940705000011,-28.837662893101516,-51.900462620883161
431337505000017,-29.84363652936489,-51.2678456493931
430060405030001,-30.008175457083247,-51.077816067234544
430510805200035,-29.189720689988722,-51.168704483875779
431440705200025,-31.771419127188164,-52.320905855921694
431490205001398,-30.021023492306039,-51.206610916708591
431660005000021,-27.948677254345817,-51.815130137979928
431490205000501,-30.056029685076737,-51.193556514498752
